case_number,court,case_type.x,filing_date,id,court_system,tracking_number,document_type,issued_date,issued_date_str,case_status,case_disposition,year
0B00412405,Baltimore City District Court 5800 Wabash Ave,CR,2000-02-17,680966,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,006006102572,STATEMENT OF CHARGES,2000-02-17,02/17/2000,CLOSED,TRIAL,2000
0B01281707,Baltimore City District Court 700 Patapsco Ave.,CR,2000-02-02,281207,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,006003105846,STATEMENT OF CHARGES,2000-02-02,02/02/2000,CLOSED,JURY TRIAL PRAYED,2000
0B01284451,Baltimore City District Court 1400 North Ave.,CR,2000-02-12,681655,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,006003107574,STATEMENT OF CHARGES,2000-02-12,02/12/2000,CLOSED,FORWARDED TO CIRCUIT COURT,2000
0B01290954,Baltimore City District Court 700 Patapsco Ave.,CR,2000-04-13,288877,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,006003118660,STATEMENT OF CHARGES,2000-04-13,04/13/2000,CLOSED,TRIAL,2000
0B01304765,Baltimore City District Court 700 Patapsco Ave.,CR,2001-06-28,323000,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,016005115921,STATEMENT OF CHARGES,2001-06-28,06/28/2001,CLOSED,TRIAL,2001
0B01317645,Baltimore City District Court 1400 North Ave.,CR,2000-07-22,683708,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,006002129755,STATEMENT OF CHARGES,2000-07-22,07/22/2000,CLOSED,JURY TRIAL PRAYED,2000
0B01318345,Baltimore City District Court 1400 North Ave.,CR,2000-07-22,299866,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,006060102344,STATEMENT OF CHARGES,2000-07-22,07/22/2000,CLOSED,TRIAL,2000
0B01348067,Baltimore City District Court 1400 North Ave.,CR,2000-12-09,314340,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,006012102832,STATEMENT OF CHARGES,2000-12-09,12/09/2000,CLOSED,TRIAL,2000
0B01360744,Baltimore City District Court 1400 North Ave.,CR,2001-04-04,686404,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,016003115553,STATEMENT OF CHARGES,2001-04-04,04/04/2001,CLOSED,TRIAL,2001
0B01375276,Baltimore City District Court 5800 Wabash Ave,CR,2001-09-11,649326,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,016000160293,STATEMENT OF CHARGES,2001-09-11,09/11/2001,CLOSED,FORWARDED TO CIRCUIT COURT,2001
0B01384187,Baltimore City District Court 5800 Wabash Ave,CR,2001-09-18,332164,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,016004155823,STATEMENT OF CHARGES,2001-09-18,09/18/2001,CLOSED,TRIAL,2001
0B01384978,Baltimore City District Court 1400 North Ave.,CR,2001-10-07,333972,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,016004159566,STATEMENT OF CHARGES,2001-10-07,10/07/2001,CLOSED,FORWARDED TO CIRCUIT COURT,2001
0B01386560,Baltimore City District Court 1400 North Ave.,CR,2001-08-27,647263,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,016004149615,STATEMENT OF CHARGES,2001-08-27,08/27/2001,CLOSED,TRIAL,2001
0B01392888,Baltimore City District Court 700 Patapsco Ave.,CR,2001-10-28,687774,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,016000169485,STATEMENT OF CHARGES,2001-10-28,10/28/2001,CLOSED,TRIAL,2001
0B01395912,Baltimore City District Court 1400 North Ave.,CR,2001-10-09,348737,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,016000165252,STATEMENT OF CHARGES,2001-10-09,10/09/2001,CLOSED,FORWARDED TO CIRCUIT COURT,2001
0B01398999,Baltimore City District Court 1400 North Ave.,CR,2002-04-23,687968,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026003117766,STATEMENT OF CHARGES,2002-04-23,04/23/2002,CLOSED,TRIAL,2002
0B01410458,Baltimore City District Court 5800 Wabash Ave,CR,2001-11-19,688638,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,016059103163,STATEMENT OF CHARGES,2001-11-19,11/19/2001,CLOSED,TRIAL,2001
0B01413888,Baltimore City District Court 1400 North Ave.,CR,2001-12-09,688661,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,016061106972,STATEMENT OF CHARGES,2001-12-09,12/09/2001,CLOSED,FORWARDED TO CIRCUIT COURT,2001
0B01416919,Baltimore City District Court 5800 Wabash Ave,CR,2002-04-17,365710,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026004120170,STATEMENT OF CHARGES,2002-04-17,04/17/2002,CLOSED,TRIAL,2002
0B01418858,Baltimore City District Court 5800 Wabash Ave,CR,2001-12-23,341338,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,016019102816,STATEMENT OF CHARGES,2001-12-23,12/23/2001,CLOSED,TRIAL,2001
0B01425844,Baltimore City District Court 700 Patapsco Ave.,CR,2002-01-25,344680,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026005102955,STATEMENT OF CHARGES,2002-01-25,01/25/2002,CLOSED,FORWARDED TO CIRCUIT COURT,2002
0B01429862,Baltimore City District Court 5800 Wabash Ave,CR,2002-04-19,365709,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026024102355,STATEMENT OF CHARGES,2002-04-19,04/19/2002,CLOSED,JURY TRIAL PRAYED,2002
0B01436491,Baltimore City District Court 5800 Wabash Ave,CR,2002-03-16,359732,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026007108245,STATEMENT OF CHARGES,2002-03-16,03/16/2002,CLOSED,TRIAL,2002
0B01442007,Baltimore City District Court 5800 Wabash Ave,CR,2002-04-26,690525,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026007113101,STATEMENT OF CHARGES,2002-04-26,04/26/2002,CLOSED,FORWARDED TO CIRCUIT COURT,2002
0B01442035,Baltimore City District Court 1400 North Ave.,CR,2002-04-27,690568,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026000120882,STATEMENT OF CHARGES,2002-04-27,04/27/2002,CLOSED,TRIAL,2002
0B01442644,Baltimore City District Court 1400 North Ave.,CR,2002-04-07,690353,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026063102612,STATEMENT OF CHARGES,2002-04-07,04/07/2002,CLOSED,JURY TRIAL PRAYED,2002
0B01444114,Baltimore City District Court 1400 North Ave.,CR,2002-04-20,362102,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026000119132,STATEMENT OF CHARGES,2002-04-20,04/20/2002,CLOSED,TRIAL,2002
0B01444772,Baltimore City District Court 5800 Wabash Ave,CR,2004-06-04,690156,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046008104844,STATEMENT OF CHARGES,2004-06-04,06/04/2004,CLOSED,TRIAL,2004
0B01447348,Baltimore City District Court 700 Patapsco Ave.,CR,2003-07-02,692033,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036006112601,STATEMENT OF CHARGES,2003-07-02,07/02/2003,CLOSED,TRIAL,2003
0B01448146,Baltimore City District Court 1400 North Ave.,CR,2002-06-07,356003,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026003125875,STATEMENT OF CHARGES,2002-06-07,06/07/2002,CLOSED,JURY TRIAL PRAYED,2002
0B01448601,Baltimore City District Court 1400 North Ave.,CR,2002-05-08,352957,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026001127062,STATEMENT OF CHARGES,2002-05-08,05/08/2002,CLOSED,FORWARDED TO CIRCUIT COURT,2002
0B01453011,Baltimore City District Court 1400 North Ave.,CR,2002-05-23,365441,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026001129895,STATEMENT OF CHARGES,2002-05-23,05/23/2002,CLOSED,FORWARDED TO CIRCUIT COURT,2002
0B01462909,Baltimore City District Court 1400 North Ave.,CR,2002-07-10,653254,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,980001800050,STATEMENT OF CHARGES,2002-07-10,07/10/2002,CLOSED,FORWARDED TO CIRCUIT COURT,2002
0B01463273,Baltimore City District Court 1400 North Ave.,CR,2002-07-08,358429,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026004134041,STATEMENT OF CHARGES,2002-07-08,07/08/2002,CLOSED,JURY TRIAL PRAYED,2002
0B01464043,Baltimore City District Court 1400 North Ave.,CR,2002-08-12,692255,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026004141520,STATEMENT OF CHARGES,2002-08-12,08/12/2002,CLOSED,JURY TRIAL PRAYED,2002
0B01466290,Baltimore City District Court 5800 Wabash Ave,CR,2002-08-03,361324,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026006116500,STATEMENT OF CHARGES,2002-08-03,08/03/2002,CLOSED,TRIAL,2002
0B01490020,Baltimore City District Court 700 Patapsco Ave.,CR,2003-01-21,693899,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036005102486,STATEMENT OF CHARGES,2003-01-21,01/21/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01492750,Baltimore City District Court 1400 North Ave.,CR,2002-12-07,371896,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,026005147884,STATEMENT OF CHARGES,2002-12-07,12/07/2002,CLOSED,TRIAL,2002
0B01497083,Baltimore City District Court 1400 North Ave.,CR,2003-01-15,390106,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036007101340,STATEMENT OF CHARGES,2003-01-15,01/15/2003,WARRANT,FAILED TO APPEAR,2003
0B01501066,Baltimore City District Court 700 Patapsco Ave.,CR,2003-02-21,389274,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036007105061,STATEMENT OF CHARGES,2003-02-21,02/21/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01507814,Baltimore City District Court 700 Patapsco Ave.,CR,2004-05-27,426515,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062109376,STATEMENT OF CHARGES,2004-05-27,05/27/2004,CLOSED,JURY TRIAL PRAYED,2004
0B01507975,Baltimore City District Court 700 Patapsco Ave.,CR,2004-05-26,695050,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046062109251,STATEMENT OF CHARGES,2004-05-26,05/26/2004,CLOSED,TRIAL,2004
0B01509921,Baltimore City District Court 700 Patapsco Ave.,CR,2003-04-08,694659,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036064102583,STATEMENT OF CHARGES,2003-04-08,04/08/2003,CLOSED,TRIAL,2003
0B01511559,Baltimore City District Court 700 Patapsco Ave.,CR,2003-04-12,694675,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036001118484,STATEMENT OF CHARGES,2003-04-12,04/12/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01519609,Baltimore City District Court 700 Patapsco Ave.,CR,2003-05-29,386722,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036004122685,STATEMENT OF CHARGES,2003-05-29,05/29/2003,CLOSED,TRIAL,2003
0B01522570,Baltimore City District Court 1400 North Ave.,CR,2003-06-02,695663,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036000124941,STATEMENT OF CHARGES,2003-06-02,06/02/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01529738,Baltimore City District Court 1400 North Ave.,CR,2004-05-06,423718,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046061107595,STATEMENT OF CHARGES,2004-05-06,05/06/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01530620,Baltimore City District Court 700 Patapsco Ave.,CR,2004-05-24,423420,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046005116743,STATEMENT OF CHARGES,2004-05-24,05/24/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01530900,Baltimore City District Court 5800 Wabash Ave,CR,2004-05-22,449176,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046010106796,STATEMENT OF CHARGES,2004-05-22,05/22/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01532139,Baltimore City District Court 700 Patapsco Ave.,CR,2004-05-15,427317,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046012105145,STATEMENT OF CHARGES,2004-05-15,05/15/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01532356,Baltimore City District Court 300 East Madison,CR,2004-05-13,696999,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046001116781,STATEMENT OF CHARGES,2004-05-13,05/13/2004,CLOSED,TRIAL,2004
0B01539118,Baltimore City District Court 5800 Wabash Ave,CR,2003-09-09,401140,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036063109342,STATEMENT OF CHARGES,2003-09-09,09/09/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01540266,Baltimore City District Court 300 East Madison,CR,2003-07-31,392489,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036024106171,STATEMENT OF CHARGES,2003-07-31,07/31/2003,CLOSED,TRIAL,2003
0B01540770,Baltimore City District Court 700 Patapsco Ave.,CR,2004-05-02,423768,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046018102653,STATEMENT OF CHARGES,2004-05-02,05/02/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01541379,Baltimore City District Court 1400 North Ave.,CR,2003-08-02,696425,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036017103625,STATEMENT OF CHARGES,2003-08-02,08/02/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01541442,Baltimore City District Court 700 Patapsco Ave.,CR,2003-08-02,696490,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036006116134,STATEMENT OF CHARGES,2003-08-02,08/02/2003,CLOSED,JURY TRIAL PRAYED,2003
0B01541659,Baltimore City District Court 1400 North Ave.,CR,2003-08-19,696684,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036003137881,STATEMENT OF CHARGES,2003-08-19,08/19/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01541939,Baltimore City District Court 300 East Madison,CR,2003-08-26,398247,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036002146574,STATEMENT OF CHARGES,2003-08-26,08/26/2003,CLOSED,TRIAL,2003
0B01542009,Baltimore City District Court 700 Patapsco Ave.,CR,2003-08-10,396984,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036000137740,STATEMENT OF CHARGES,2003-08-10,08/10/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01545929,Baltimore City District Court 1400 North Ave.,CR,2003-08-17,697280,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036001144340,STATEMENT OF CHARGES,2003-08-17,08/17/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01547770,Baltimore City District Court 1400 North Ave.,CR,2004-05-05,437991,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046061107492,STATEMENT OF CHARGES,2004-05-05,05/05/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01548372,Baltimore City District Court 1400 North Ave.,CR,2003-09-04,697404,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036007127575,STATEMENT OF CHARGES,2003-09-04,09/04/2003,CLOSED,TRIAL,2003
0B01548386,Baltimore City District Court 1400 North Ave.,CR,2003-09-06,397471,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036002149396,STATEMENT OF CHARGES,2003-09-06,09/06/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01549317,Baltimore City District Court 1400 North Ave.,CR,2003-08-23,410851,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036007126175,STATEMENT OF CHARGES,2003-08-23,08/23/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01549345,Baltimore City District Court 700 Patapsco Ave.,CR,2003-08-26,394781,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036003138732,STATEMENT OF CHARGES,2003-08-26,08/26/2003,CLOSED,JURY TRIAL PRAYED,2003
0B01549751,Baltimore City District Court 1400 North Ave.,CR,2003-11-26,656063,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036000159764,STATEMENT OF CHARGES,2003-11-26,11/26/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01550108,Baltimore City District Court 1400 North Ave.,CR,2003-08-30,697299,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036004140874,STATEMENT OF CHARGES,2003-08-30,08/30/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01550178,Baltimore City District Court 700 Patapsco Ave.,CR,2003-09-01,697401,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036005134406,STATEMENT OF CHARGES,2003-09-01,09/01/2003,CLOSED,TRIAL,2003
0B01551046,Baltimore City District Court 1400 North Ave.,CR,2004-05-27,698018,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046063110645,STATEMENT OF CHARGES,2004-05-27,05/27/2004,CLOSED,TRIAL,2004
0B01551494,Baltimore City District Court 700 Patapsco Ave.,CR,2004-05-22,424869,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,046002123005,STATEMENT OF CHARGES,2004-05-22,05/22/2004,CLOSED,FORWARDED TO CIRCUIT COURT,2004
0B01555610,Baltimore City District Court 1400 North Ave.,CR,2003-09-24,398668,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036000146206,STATEMENT OF CHARGES,2003-09-24,09/24/2003,CLOSED,TRIAL,2003
0B01555673,Baltimore City District Court 5800 Wabash Ave,CR,2003-09-23,397743,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036009105650,STATEMENT OF CHARGES,2003-09-23,09/23/2003,CLOSED,TRIAL,2003
0B01555694,Baltimore City District Court 1400 North Ave.,CR,2003-09-23,414522,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036003144391,STATEMENT OF CHARGES,2003-09-23,09/23/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
0B01556450,Baltimore City District Court 1400 North Ave.,CR,2003-09-18,398909,DISTRICT COURT FOR BALTIMORE CITY - CRIMINAL SYSTEM,036001152250,STATEMENT OF CHARGES,2003-09-18,09/18/2003,CLOSED,FORWARDED TO CIRCUIT COURT,2003
