trafficid,chargeid,describe35,describe70,describe100,date_begin,date_end,article,section,subsec,paragraph,code,fine,finetype,mod_date,new_date,last_revised,scrape_date
2591,21221,OPERATE COMBO OF NONCOMMERCIAL VEH.,OPERATE COMBO OF NONCOMMERCIAL VEH. CONSISTING OF POWER UNIT & TRAVEL,OPERATE COMBO OF NONCOMMERCIAL VEH. CONSISTING OF POWER UNIT & TRAVEL TRAILER EXCEEDING 60 FT LENGTH,2005-10-01,2009-09-30,1A,24,104.1,m,1,528,F,2019-10-30,2019-10-30,2020-05-07,2020-06-03
2591,21220,OPERATE COMBO OF NONCOMMERCIAL VEH.,OPERATE COMBO OF NONCOMMERCIAL VEH. CONSISTING OF POWER UNIT & TRAVEL,OPERATE COMBO OF NONCOMMERCIAL VEH. CONSISTING OF POWER UNIT & TRAVEL TRAILER EXCEEDING 60 FT LENGTH,2009-10-01,2010-09-30,1A,24,104.1,m,1,520,F,2019-10-30,2019-10-30,2020-05-07,2020-06-03
2591,21194,OPERATE COMBO OF NONCOMMERCIAL VEH.,OPERATE COMBO OF NONCOMMERCIAL VEH. CONSISTING OF POWER UNIT & TRAVEL,OPERATE COMBO OF NONCOMMERCIAL VEH. CONSISTING OF POWER UNIT & TRAVEL TRAILER EXCEEDING 60 FT LENGTH,2010-10-01,NA,1A,24,104.1,m,1,530,F,2019-09-30,2019-09-30,2020-05-07,2020-06-03
2003,20765,PROHIBITED PERSON SOLICITING OTHER,PROHIBITED PERSON SOLICITING OTHER PERSON TO STARTMOTOR VEHICLE EQUIPP,PROHIBITED PERSON SOLICITING OTHER PERSON TO STARTMOTOR VEHICLE EQUIPPED WITH INTERLOCK SYSTEM,NA,1990-07-11,27,,107,d,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2003,5574,PROHIBITED PERSON SOLICITING OTHER,PROHIBITED PERSON SOLICITING OTHER PERSON TO STARTMOTOR VEHICLE EQUIPP,PROHIBITED PERSON SOLICITING OTHER PERSON TO STARTMOTOR VEHICLE EQUIPPED WITH INTERLOCK SYSTEM,1988-07-01,1990-07-10,27,,107,d,,0,A,1999-06-11,1999-02-23,2020-05-07,2020-06-03
2004,20766,PERSON STARTING MOTOR VEHICLE FOR U,PERSON STARTING MOTOR VEHICLE FOR USE BY PROHIBITED PERSON,PERSON STARTING MOTOR VEHICLE FOR USE BY PROHIBITED PERSON,NA,1990-07-11,27,,107,e,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2004,5575,PERSON STARTING MOTOR VEHICLE FOR U,PERSON STARTING MOTOR VEHICLE FOR USE BY PROHIBITED PERSON,PERSON STARTING MOTOR VEHICLE FOR USE BY PROHIBITED PERSON,1988-07-01,1990-07-10,27,,107,e,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2005,20767,"(TAMPERING WITH, ATTEMPTING TO CIRC","(TAMPERING WITH, ATTEMPTING TO CIRCUMVENT) OPERATION OF INTERLOCK SYST","(TAMPERING WITH, ATTEMPTING TO CIRCUMVENT) OPERATION OF INTERLOCK SYSTEM",NA,1990-07-11,27,,107,f,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
2005,5576,"(TAMPERING WITH, ATTEMPTING TO CIRC","(TAMPERING WITH, ATTEMPTING TO CIRCUMVENT) OPERATION OF INTERLOCK SYST","(TAMPERING WITH, ATTEMPTING TO CIRCUMVENT) OPERATION OF INTERLOCK SYSTEM",1988-07-01,1990-07-10,27,,107,f,,0,A,1999-06-11,1998-11-10,2020-05-07,2020-06-03
2006,20768,KNOWINGLY FURNISH MOTOR VEHICLE WIT,KNOWINGLY FURNISH MOTOR VEHICLE WITHOUT INTERLOCK SYSTEM TO PROHIBITED,KNOWINGLY FURNISH MOTOR VEHICLE WITHOUT INTERLOCK SYSTEM TO PROHIBITED PERSON,NA,1990-07-11,27,,107,g,,0,R,2018-06-28,2018-06-28,2020-05-07,2020-06-03
